keys,zh_TW,en
crew.quip.neutral,（哼著小調）,(humming along)
crew.quip.happy,今天真是好日子！,What a great day!
crew.quip.inspired,交給我吧 馬力全開！,Leave it to me — full power!
crew.quip.tired,我需要……瞇一下……,I need... a nap...
crew.quip.hungry,肚子在抗議了。,My stomach is protesting.
crew.quip.lonely,有人在嗎……,Anyone around...?
crew.quip.disgruntled,這待遇我可受夠了。,I have had enough of this.
crew.quip.bored,好無聊喔……,So bored...
crew.quip.hurt,我……需要治療。,I... need treatment.
crew.quip.afraid,快跑啊啊啊！,Run!!!
crew.profession.engineer,工程師,Engineer
crew.profession.weapon_officer,武器官,Weapons Officer
crew.profession.biologist,生物學家,Biologist
crew.profession.scientist,科學家,Scientist
crew.profession.comms_officer,通訊官,Comms Officer
crew.profession.medic,醫官,Medic
crew.profession.navigator,領航員,Navigator
crew.profession.marine,陸戰隊,Marine
crew.profession.diplomat,外交官,Diplomat
crew.profession.logistics,後勤官,Logistics Officer
crew.panel.activity,目前活動：,Activity:
crew.eng_rivet.name,鉚釘,Rivet
crew.eng_rivet.bio,沉默寡言的老工程師 把扳手看得比人重 獨處時最自在。,A quiet veteran engineer who trusts his wrench more than people. Happiest left alone.
crew.eng_rivet.phrase,機器不會騙人。,Machines never lie.
crew.med_luna.name,露娜,Luna
crew.med_luna.bio,開朗的隨船醫官 愛照顧大家也愛蹭點心 聽到警報腿先軟。,A cheerful ship medic who loves caring for the crew and snacking. Alarms make her knees buckle.
crew.med_luna.phrase,先吃飽 再救人！,Eat first then save lives!
